DATE,LRUNTTTTBRM156S
1981-01-01,12.99306943
1981-02-01,13.4924914
1981-03-01,13.57533431
1981-04-01,14.26680121
1981-05-01,13.98447591
1981-06-01,14.11107545
1981-07-01,14.65068042
1981-08-01,14.77255263
1981-09-01,14.04659138
1981-10-01,14.06348881
1981-11-01,14.74760164
1981-12-01,14.78301976
1982-01-01,15.78589989
1982-02-01,13.88433953
1982-03-01,13.47265096
1982-04-01,11.27077835
1982-05-01,10.37319223
1982-06-01,10.20274271
1982-07-01,10.36341011
1982-08-01,10.18767265
1982-09-01,10.03503526
1982-10-01,9.854023828
1982-11-01,9.464373494
1982-12-01,9.406553976
1983-01-01,10.75932562
1983-02-01,10.41194708
1983-03-01,11.39797877
1983-04-01,12.05622322
1983-05-01,11.91505548
1983-06-01,12.05330179
1983-07-01,12.05215372
1983-08-01,12.28437188
1983-09-01,12.90454979
1983-10-01,12.72041868
1983-11-01,12.65253015
1983-12-01,12.39759166
1984-01-01,12.85068726
1984-02-01,13.44000695
1984-03-01,12.94656589
1984-04-01,13.06482339
1984-05-01,14.07762947
1984-06-01,13.21207206
1984-07-01,12.84283533
1984-08-01,12.88507418
1984-09-01,12.28404339
1984-10-01,12.18743501
1984-11-01,11.92985572
1984-12-01,10.85728652
1985-01-01,10.93756716
1985-02-01,10.36737248
1985-03-01,10.59384098
1985-04-01,10.17992623
1985-05-01,9.771541258
1985-06-01,9.786624944
1985-07-01,9.439484339
1985-08-01,8.692085313
1985-09-01,8.768524063
1985-10-01,8.257047952
1985-11-01,8.00826945
1985-12-01,7.794534646
1986-01-01,7.209340611
1986-02-01,7.384907036
1986-03-01,6.837579593
1986-04-01,6.793054161
1986-05-01,6.571816133
1986-06-01,6.369356208
1986-07-01,6.242824866
1986-08-01,6.097392044
1986-09-01,5.956429244
1986-10-01,5.827063578
1986-11-01,5.687793955
1986-12-01,6.030951572
1987-01-01,5.472469814
1987-02-01,5.502600348
1987-03-01,4.974331578
1987-04-01,5.404156166
1987-05-01,6.373568692
1987-06-01,7.562904157
1987-07-01,7.858118171
1987-08-01,7.30385572
1987-09-01,7.348037266
1987-10-01,7.597163193
1987-11-01,7.463738569
1987-12-01,7.170121845
1988-01-01,6.612703414
1988-02-01,7.202572523
1988-03-01,6.767948987
1988-04-01,6.583397694
1988-05-01,6.471510623
1988-06-01,6.688675477
1988-07-01,6.812267499
1988-08-01,7.233527008
1988-09-01,7.057273212
1988-10-01,6.988569015
1988-11-01,6.851864529
1988-12-01,7.217225774
1989-01-01,6.73524678
1989-02-01,6.600216224
1989-03-01,6.543402122
1989-04-01,6.239932386
1989-05-01,5.241317433
1989-06-01,5.707334111
1989-07-01,5.667091804
1989-08-01,5.672480962
1989-09-01,5.977569066
1989-10-01,5.993485148
1989-11-01,5.345536612
1989-12-01,6.18891719
1990-01-01,5.762659042
1990-02-01,5.604982028
1990-03-01,6.224262564
1990-04-01,7.700936728
1990-05-01,8.593064425
1990-06-01,8.519609894
1990-07-01,8.11362238
1990-08-01,7.9066209
1990-09-01,7.797463549
1990-10-01,7.995428982
1990-11-01,8.51788648
1990-12-01,8.961378921
1991-01-01,9.170968997
1991-02-01,9.178587621
